amount,merchant,country,velocity,is_fraud
111.46,wire_transfer,US,9,0
13.86,casino,US,4,0
168.97,grocer,IN,3,0
63.88,grocer,RU,2,0
138.89,wire_transfer,US,8,0
1762.72,casino,IN,4,0
92.7,fuel,US,2,0
333.98,fuel,IN,5,0
30.42,fuel,GB,8,0
2704.0,grocer,IN,4,0
161.66,fuel,IN,8,0
2051.87,wire_transfer,GB,9,0
172.52,fuel,IN,3,0
20.75,wire_transfer,GB,7,0
239.16,casino,IN,1,0
354.15,grocer,IN,5,0
381.62,casino,IN,3,0
250.87,fuel,GB,6,0
311.89,casino,US,6,0
146.47,fuel,RU,1,0
33.35,casino,US,3,0
220.82,fuel,BR,9,0
285.75,electronics,IN,9,0
27.48,casino,GB,4,0
51.8,grocer,NG,3,1
54.66,fuel,RU,8,0
40.58,electronics,BR,8,0
262.08,electronics,US,6,0
78.25,electronics,GB,3,0
369.46,grocer,US,9,0
3734.92,electronics,GB,8,0
3648.79,electronics,US,5,0
115.53,fuel,BR,4,0
2485.05,grocer,IN,1,0
341.38,fuel,US,2,0
95.61,casino,GB,1,0
234.3,fuel,IN,6,0
269.33,grocer,IN,1,0
3985.95,casino,GB,5,1
29.38,fuel,IN,8,0
245.45,wire_transfer,NG,9,0
375.69,grocer,US,9,0
85.83,casino,IN,8,0
582.88,grocer,IN,1,0
391.96,casino,BR,7,0
378.13,casino,GB,1,0
60.94,airline,IN,1,0
101.31,casino,BR,3,0
66.68,electronics,GB,1,0
3216.59,airline,GB,3,0
349.12,fuel,GB,8,0
348.79,electronics,GB,6,0
309.78,wire_transfer,BR,9,0
351.06,grocer,IN,2,0
315.0,electronics,US,4,0
2.67,airline,NG,7,0
133.42,wire_transfer,US,5,0
131.82,fuel,GB,7,0
299.76,electronics,IN,9,0
85.65,electronics,IN,8,0
190.33,wire_transfer,GB,2,0
248.47,wire_transfer,GB,5,0
11.72,casino,BR,2,0
2472.42,electronics,BR,7,0
4.21,electronics,US,4,0
2264.65,grocer,GB,8,0
213.39,electronics,IN,9,0
2005.29,electronics,BR,5,0
112.37,wire_transfer,BR,4,0
115.72,casino,IN,2,0
278.19,electronics,US,7,0
26.78,casino,BR,1,0
153.39,airline,IN,7,0
1908.48,electronics,GB,4,0
156.77,wire_transfer,BR,3,0
3930.6,casino,BR,1,0
347.01,electronics,IN,6,0
304.97,airline,BR,2,1
22.73,wire_transfer,NG,2,0
302.18,grocer,NG,3,0
47.53,wire_transfer,RU,5,0
243.68,fuel,US,5,0
126.16,electronics,BR,4,0
251.64,wire_transfer,IN,2,0
18.35,grocer,IN,9,0
169.18,airline,BR,8,0
294.05,casino,RU,9,0
330.64,fuel,IN,2,0
300.69,airline,BR,1,0
196.04,airline,IN,5,0
111.95,grocer,GB,4,0
303.75,electronics,BR,1,0
277.33,electronics,IN,9,0
298.88,airline,BR,5,0
78.65,fuel,GB,4,0
236.66,grocer,IN,4,0
122.3,airline,GB,1,0
279.57,grocer,BR,1,0
177.31,airline,US,8,0
197.72,fuel,US,3,0
706.65,casino,BR,4,0
363.58,airline,BR,1,0
379.14,airline,GB,2,0
31.88,wire_transfer,BR,8,0
283.37,grocer,BR,4,0
250.77,electronics,GB,2,0
363.55,grocer,US,3,0
330.05,grocer,RU,8,0
377.19,electronics,BR,2,0
3044.32,grocer,US,4,0
230.93,casino,RU,1,0
